,Among Us,Apex Legends,Fortnite,Forza Horizon,Free Fire,Genshin Impact,God of War,Minecraft,Roblox,Terraria
Among Us,149,0,0,0,0,0,0,0,0,1
Apex Legends,4,138,1,1,2,2,0,0,1,1
Fortnite,0,1,141,0,3,4,0,0,0,1
Forza Horizon,0,2,2,132,7,1,0,0,0,6
Free Fire,1,3,2,2,140,0,1,0,1,0
Genshin Impact,1,1,1,0,1,144,0,0,0,2
God of War,0,0,0,0,0,0,149,0,0,1
Minecraft,1,0,0,0,0,1,0,148,0,0
Roblox,0,0,4,4,0,0,0,0,142,0
Terraria,0,0,0,0,0,3,0,1,0,146
